Epoch,Loss,Accuracy
1,2.5757858753204346,0.2626953125
2,1.929575800895691,0.4521484375
3,1.651408314704895,0.5244140625
4,1.4262917041778564,0.568359375
5,1.3514288663864136,0.5810546875
6,1.2465726137161255,0.6103515625
7,1.1776267290115356,0.619140625
8,1.1182600259780884,0.6435546875
9,1.0656782388687134,0.654296875
10,1.0217596292495728,0.6640625
11,1.00105881690979,0.6884765625
12,0.9319267868995667,0.703125
13,0.9136625528335571,0.7060546875
14,0.8810310959815979,0.7236328125
15,0.8890777826309204,0.7138671875
16,0.8678415417671204,0.724609375
17,0.814179003238678,0.728515625
18,0.8108022809028625,0.732421875
19,0.7846826314926147,0.7470703125
20,0.7843579053878784,0.734375
21,0.7575633525848389,0.7587890625
22,0.7314616441726685,0.759765625
23,0.7311035394668579,0.76953125
24,0.7094504833221436,0.7705078125
25,0.6866041421890259,0.755859375
26,0.6723506450653076,0.7890625
27,0.6878687739372253,0.7607421875
28,0.6587515473365784,0.802734375
29,0.639133632183075,0.7890625
30,0.6336554884910583,0.7841796875
31,0.6308609843254089,0.771484375
32,0.6302068829536438,0.794921875
33,0.589777946472168,0.8115234375
34,0.5779536962509155,0.8076171875
35,0.5574586391448975,0.81640625
36,0.5486745834350586,0.8125
37,0.5366171002388,0.8193359375
38,0.532169759273529,0.8046875
39,0.5308303236961365,0.830078125
40,0.4998159110546112,0.8388671875
41,0.4908413887023926,0.833984375
42,0.4492463171482086,0.8427734375
43,0.4836861789226532,0.8466796875
44,0.4670744836330414,0.849609375
45,0.5034360885620117,0.83203125
46,0.46433764696121216,0.84765625
47,0.43957599997520447,0.853515625
48,0.44316160678863525,0.849609375
49,0.45607590675354004,0.8427734375
50,0.4279370903968811,0.8544921875
51,0.4250204265117645,0.84765625
52,0.4343535602092743,0.8525390625
53,0.3659888803958893,0.8798828125
54,0.40903300046920776,0.869140625
55,0.3922438621520996,0.8583984375
56,0.4183271527290344,0.8583984375
57,0.3866012692451477,0.8662109375
58,0.3525991439819336,0.880859375
59,0.37039458751678467,0.8798828125
60,0.35570329427719116,0.8759765625
61,0.40394890308380127,0.8564453125
62,0.3499116599559784,0.88671875
63,0.34647440910339355,0.8759765625
64,0.3494897484779358,0.876953125
65,0.3574867248535156,0.87890625
66,0.36972513794898987,0.87890625
67,0.332338809967041,0.875
68,0.3381514251232147,0.884765625
69,0.35076645016670227,0.8857421875
70,0.2755015194416046,0.90625
71,0.33997082710266113,0.8857421875
72,0.3560750186443329,0.8857421875
73,0.3064624071121216,0.888671875
74,0.33275458216667175,0.8818359375
75,0.2868413031101227,0.9013671875
76,0.26561668515205383,0.908203125
77,0.3081367611885071,0.900390625
78,0.34328389167785645,0.8876953125
79,0.2671183943748474,0.9111328125
80,0.31548792123794556,0.89453125
81,0.2981800138950348,0.8994140625
82,0.27519866824150085,0.9150390625
83,0.27982762455940247,0.916015625
84,0.28350630402565,0.90234375
85,0.2912616431713104,0.908203125
86,0.29211005568504333,0.9150390625
87,0.2832029461860657,0.9111328125
88,0.28280532360076904,0.9072265625
89,0.2519441843032837,0.904296875
90,0.25978517532348633,0.916015625
